"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c"
"GSEU 2001: Comprehensive Bereavement Skills Training","GSEU 2001","GSEU 2001","OEE","","<p>Taught by the Center for Loss &amp; Life Transition, 3735 Broken Bow Rd, Fort Collins, CO 80526. 3.0 CEUs</p>","GSEU-2001","Taught by the Center for Loss & Life Transition, 3735 Broken Bow Rd,  Fort Collins, CO 80526. 3.0 CEUs"
"HSLL 2001: PHR/SPHR Certification Preparation","HSLL 2001","HSLL 2001","OEE","","<p>Prepare for the challenges and demands of your profession by earning the credentials employers look for in a human resource professional. Stay on top of the rapidly changing HR world by completing this 39-hour program over about 13 weeks, which focuses on the key areas in HR management, such as:</p><ul><li>Strategic Management</li><li>Workforce Planning &amp; Development</li><li>Human Resource Development</li><li>Total Rewards</li><li>Employee and Labor Relations</li><li>Risk Management </li></ul><p>Colorado State University's PHR/SPHR Certification Preparation course will help you prepare for the Professional in Human Resources and Senior Professional in Human Resources certification exams.</p>","HSLL-2001","The PHR/SPHR Certification Preparation course, offered through Colorado State University's Denver Center, is a training program which further develops your HR knowledge and also assists you in preparing for the Professional in Human Resources (PHR) or Senior Professional in Human Resources (SPHR) certification exams."
"BSLL 2002: Pivot Jumpstart Pueblo","BSLL 2002","BSLL 2002","OEE","","<p>Thank you for your interest in Pivot Jumpstart, here in Pueblo County! The cost for participating in this program is covered by the generous sponsorship of Pueblo County. The program is also made possible by the Southern Colorado SBDC, Pueblo Community College, Thomas V. Healy Center for Business and Economic Research at CSU- Pueblo, and the Institute for Entrepreneurship at Colorado State University. This program is designed to help you and your business create new value and become resilient in the face of major change!</p><p>By the end of Pivot Jumpstart, participant will better understand:</p><p>• How to adapt to a changing environment and better futureproof the business to enable long-term success.<br />• How to stay connected with developing and shifting needs of their customers.<br />• How to create value for existing and new customers and develop new revenue streams.<br />• How and when to pivot and change directions in the business.<br />• How to position the business in the present for eventual and successful exit in the future.</p><p>If you have questions about this course, please contact Program Manager <a href=mailto: Sarah.jane.rhodes@colostate.edu >Sarah Rhodes.</a></p>","BSLL-2002","This program is designed to help you and your business create new value and become resilient in the face of major change!"
"LGBB 2002: Spanish for Animal Health and Care Fields","LGBB 2002","LGBB 2002","OEE","","<p><strong>Learn to use Spanish in agricultural and veterinary settings</strong><br />There is increasing awareness of the need for basic, field-specific communication skills in Spanish on the part of animal science and veterinary professionals working with livestock workers and Spanish-speaking pet owners. To ensure operations run smoothly, employees can communicate, and animals get the care they need, it's important for those who work in farm and veterinary settings to learn basic, field-specific Spanish.</p><p>This course is ideal for livestock farm managers and owners, veterinary professionals, or students who plan to pursue a career in related fields. If this applies to you, this online course will teach you intermediate-level Spanish language skills to effectively communicate with workers, clients, and others about the animals you manage and care for.</p><p><strong>Build practical communication skills</strong><br />This course is different than typical Spanish language courses. The material covered is applied and task-focused rather than grammar-driven. Lessons focus on functional vocabulary and real-life communication skills necessary for field-specific work interactions. Watch videos, listen to audio recordings, complete interactive hands-on materials, and read selected texts to learn to converse about subjects.</p><p>You will learn to:</p><ul><li>Describe common livestock, equine, and small animal breeds and their anatomy.</li><li>Issue and follow basic instructions in Spanish for animal care and handling.</li><li>Describe different areas of animal housing and care facilities.</li><li>Identify and describe animal health status and irregular behavior.</li><li>Issue and follow basic instructions about vaccination and drug administration.</li><li>Issue and follow basic instructions about safety guidelines regarding animal care.</li><li>Explain the rationale behind preventive animal care.</li></ul><p><img src=""/global/images/content/badges/SpanishforAnimalHealth-Badges-01.png"" style=""width: 121px;"" class=""img-style-right"" alt=""Earn a digital badge to illustrate your knowledge""><br /><strong>Earn a digital badge to illustrate your knowledge</strong><br />In addition to gaining valuable skills, when you successfully complete this course, you also earn a digital badge to share among your professional and personal network. Display it on your resume, online portfolio, website, and social media pages to demonstrate your knowledge and skills. Badges expire after three years from the date earned to ensure up-to-date knowledge of practices in the industry.</p><p><a href=""https://www.online.colostate.edu/badges/"">Learn more about digital badges</a>.</p><p><strong>Prerequisite</strong><br />You must have at least novice- to mid-level proficiency in Spanish, or the equivalent of three semesters of study. Heritage speakers or people who have had Spanish immersion experiences may also qualify. A placement exam can substitute for course prerequisite. For questions, please contact the instructors.</p>","LGBB-2002","Develop intermediate-mid level communication skills in Spanish for students in animal care fields. Specific terminology and the basic linguistic skills necessary to communicate about veterinary care and proper handling of livestock. All targeted linguistic forms, communicative activities and assessments are task-based and practical in nature."
"BSLL 2003: Pivot Jumpstart San Luis Valley","BSLL 2003","BSLL 2003","OEE","","<p>Thank you for your interest in Pivot Jumpstart, here in the San Luis Valley! The cost for participating in this program is covered by the generous sponsorship of the Economic Development Administration and the San Luis Valley Development Resource Group. The program is also made possible by the San Luis Valley Small Business Development Center and the Institute for Entrepreneurship at Colorado State University- College of Business. Businesses located in San Luis Valley (Alamosa, Conejos, Costilla, Mineral, Rio Grande, and Saguache Counties) are able to enroll in this program for FREE thanks to generous sponsorships and federal grant assistance.</p><p>This program is designed to help you and your business create new value and become resilient in the face of major change! By the end of Pivot Jumpstart, participant will better understand:</p><p>• How to adapt to a changing environment and better futureproof the business to enable long-term success.<br />• How to stay connected with developing and shifting needs of their customers.<br />• How to create value for existing and new customers and develop new revenue streams.<br />• How and when to pivot and change directions in the business.<br />• How to position the business in the present for eventual and successful exit in the future.</p><p>If you have questions about this course, please contact Program Manager <a href=mailto: Sarah.jane.rhodes@colostate.edu >Sarah Rhodes.</a></p>","BSLL-2003","This program is designed to help you and your business create new value and become resilient in the face of major change."
"LGBB 2003: Spanish for Animal Health and Care II","LGBB 2003","LGBB 2003","OEE","","<p>Continuing development of intermediate-level communication skills in Spanish for students in large and small animal care fields. Development of specific terminology and linguistic skills necessary to communicate about animal health and care. All targeted linguistic forms, communicative activities and assessments are task-based and practical in nature.</p>","LGBB-2003","Continuing development of intermediate-level communication skills in Spanish for students in large and small animal care fields. Development of specific terminology and linguistic skills necessary to communicate about animal health and care. All targeted linguistic forms, communicative activities and assessments are task-based and practical in nature."
"BSLL 2004: Venture Jumpstart","BSLL 2004","BSLL 2004","OEE","","<p>The Venture Jumpstart is all about getting your venture to market. This is a six-week program where entrepreneurs come together twice per week to learn about – and take – the concrete steps needed to begin their business operations. In the Venture Jumpstart program you turn you venture into an actual company and build your go to market strategy, including your first pitch! In the Jumpstart you will: <br />• Create your Articles of Incorporation &amp; Incorporate<br />• Create your marketing plan, including your website, branding, and marketing assets<br />• Build out your financial projections and pricing <br />• Create your short- and long-term goals for success, including identifying key performance indicators <br />• Develop your sales plan and go-to-market strategies<br />• Collaborate with entrepreneurs and mentors through masterminds and 1:1 mentorship</p><p>Venture Jumpstart is a six-week workshop series where entrepreneurs come together twice a week from across CSU and the broader community to learn about – and take – the concrete steps needed to begin their business operations.<br />The workshops are focused on providing the tools entrepreneurs need to succeed, whether that’s pre-built financial templates, industry connections, or an encouraging community here to help you navigate the complexities of launching a new business.<br />Please note, this program is open to all students, faculty, alumni, staff, and community members that have already taken the Venture Validator workshops.<br />What will you learn?<br />• Applying your market validation research to your business<br />• Which type of incorporation makes sense for you<br />• How to implement a successful business plan<br />• Creating financial projections and applying accounting best practices<br />• Human resources for the early stage company<br />• Go-to-market strategies and building your entry plan<br />• Growing your business through effective marketing<br />• Understanding exits: operate or sell<br />What should I bring?<br />• Your curiosity<br />• Your laptop<br />• Microsoft Excel</p>","BSLL-2004","The Venture Jumpstart is all about getting your venture to market. This is a six-week program where entrepreneurs come together twice per week to learn about – and take – the concrete steps needed to begin their business operations. In the Venture Jumpstart program you turn you venture into an actual company and build your go to market strategy, including your first pitch!"
"BSLL 2005: Building and Leading Exceptional Teams- LevelUp","BSLL 2005","BSLL 2005","OEE","","<p>Explores factors that contribute to exceptional organizational teams with an emphasis on effective and ineffective leadership. From the shop floor to the boardroom, organizations are increasingly leveraging teams and place a premium on effective leadership to garner the synergistic benefits that are assumed to accrue from the use of such teams. Examine effective teamwork and leadership and survey current trends and developments in theory and practice.</p>","BSLL-2005","Explores factors that contribute to exceptional organizational teams with an emphasis on effective and ineffective leadership."
"EDLL 2005: Health Physics Exam Review","EDLL 2005","EDLL 2005","OEE","","<p>Get the support you need to efficiently prepare for your certified health physicist exam. This 16-week class lets you study at times and places convenient to you!</p><p>The class is divided into 17 modules based on the ABHP/AAHP topics. Each module has an approximate 2-hour review of the relevant materials, and example “part 1 style” questions that can be taken multiple times. Multiple old part 2 exams are solved on video as well as written form, so that each person can see the thought process behind solving the problems.</p><p>Although you cannot pass the CHP exam with this class alone, it gives you invaluable tools to set up a regular, focused study program leading to success! The American Board of Health Physics (ABHP) has given approval in the past for EDLL 2005 to provide 32 AAHP continuing education credits.</p><p>Why should you take this course? Because it will:</p><ul type=""disc""><li>Benefit any health physicist eligible to take part 1 or 2 of the CHP exam who wants a structured review of the relevant topics.</li><li>Help you identify your weaknesses and provide guidance on what to study.</li><li>Refresh your memory on each topic and present example questions and answers like those on the CHP exam.</li><li>Provide strategies for test taking, explore thumb rules, and offer multiple strategies for solving problems.</li><li>Give you information on what to study and identify areas where you need to concentrate.</li></ul><p>The Health Physics Certification Review class is streamed over the Internet and can be viewed at your convenience. Students interact by email.</p><p>Profits from the class support CSU students.</p>","EDLL-2005","This is the first Health Physics online review class that lets you study at times and places convenient to you! This 16-week class is streamed over the Internet and can be viewed at your convenience. Each student is assigned an individual mentor to track progress."
"BSLL 2006: GRI Training- LevelUp","BSLL 2006","BSLL 2006","OEE","","<p>GRI Standards trainings are aimed at teaching individuals the GRI framework and reporting Principles, understanding the steps to preparing a sustainability report aligned to the latest reporting guidelines for nonfinancial disclosure, and addressing challenges relevant to industry.<br />The 16-hour GRI Standards PLUS Training course covers course covers two modules developed by GRI:</p><p>1) Introduction to sustainability reporting and the GRI Standards 2021 Update and <br />2) Reporting with GRI Standards2021 Update PLUS added features developed by ISOS. These features include examples, exercises and advisory tools for aspiring sustainability practitioners responsible for implementing the GRI Standards within organizations.Participants will learn about practical steps they can take to incorporate the GRI Standards into a new or existing sustainability reporting process.</p><p>Learning objectives are met through a combination of active practitioner-led instruction, group and individual work and discussions, role-playing, trend analysis and case studies, and assessments of select companies. The session may also include guest presentations from industry leaders and/or reporting specialists, if available.Participants will receive a GRI Certificate of Completion for completing the GRI Standards course. Upon completion of this course participants earn 2 of 4 points required to be eligible to take the GRI Certified Sustainability Professional exam.</p>","BSLL-2006","This course will introduce the participant to the importance of creating and empowering teams to fuel an organization’s success. Team dynamics, appropriate role assignments, and effective leadership are fundamentals of positive team outcomes. Students will learn ways of leveraging their behavioral style as a team leader and to successfully lead diverse and cross-functional teams."
"EDLL 2006: Non-Ionizing Radiation Safety","EDLL 2006","EDLL 2006","OEE","","<p>The use of non-ionizing radiation has become so common in both the workplace and home that we seldom notice its presence. The safe use of non-ionizing radiation relies on knowledge of a broad array of standards and recommendations, and oftentimes calculations are needed to simply determine the maximum amount of exposure permitted.</p><p>This course examines the safety requirements for non-ionizing radiation and how to address safe use of non-ionizing radiation producing devices. This includes ultra-violet light materials curing, lasers used in entertainment medicine and industry, and radio frequency sources such as WiFi networks, cell phones and industrial heat sealers.</p><p>The class is designed for students who have little or no experience in evaluating non-ionizing radiation hazards. It will provide background on how the devices work, the associated biological effects and the basics of protection of workers and the public.</p><p>Upon completion of the class you will be able to determine the applicable safety standards for ultraviolet light, broadband light, lasers, radio frequency radiation and static magnetic fields.</p><p><br />Courses which relate directly to this one:<br /><a href=""http://www.learn.colostate.edu/courses/EDLL/EDLL2004.dot"">EDLL 2004, NRRPT Exam Review (a noncredit course)</a><br /><a href=""http://www.learn.colostate.edu/courses/EDLL/EDLL2005.dot"">EDLL 2005, Health Physics Exam Review (a noncredit course)</a><br /><a href=""http://www.learn.colostate.edu/courses/ERHS/ERHS515.dot""><br />ERHS 515, Non-Ionizing Radiation Safety (an academic credit course)</a></p><p>This course qualifies for 12 Continuing Education Credits from the American Academy of Health Physics.</p>","EDLL-2006","This course examines the safety requirements for non-ionizing radiation and how to address safe use of non-ionizing radiation producing devices."
"BSLL 2007: SASB Training- FSA","BSLL 2007","BSLL 2007","OEE","","<p><strong><em>Program Description:</em></strong></p><p>The <strong>Fundamentals of Sustainability Accounting (FSA) Credential</strong> equips professionals with the knowledge and skills to understand the link between financial material sustainability information and a company’s ability to drive enterprise value.  </p><p>After successful completion of this two-day course, students will be given a code to take the online Level 1 exam.</p>","BSLL-2007","The Fundamentals of Sustainability Accounting (FSA) Credential equips professionals with the knowledge and skills to understand the link between financial material sustainability information and a company’s ability to drive enterprise value."
"EDLL 2007: Radiation Biology Principles for Medicine: Principles of Radiation Bi","EDLL 2007","EDLL 2007","OEE","","<p>Biological responses to radiation exposure; DNA damage and repair, cell killing and survival, carcinogenesis and genetic effects.</p>","EDLL-2007","Biological responses to radiation exposure; DNA damage and repair, cell killing and survival, carcinogenesis and genetic effects."
"BSLL 2008: Global Sustainable Transformation in Business","BSLL 2008","BSLL 2008","OEE","","<p>A series of modules that explore a variety of business sustainability-topics. Students will also work in global teams on a strategic business project. Each module is provided by a different educational institution. Delivery is entirely online for non-CSU modules and includes remote live sessions combined with asynchronous online learning.</p>","BSLL-2008","A series of modules that explore a variety of business sustainability-topics. Students will also work in global teams on a strategic business project. Each module is provided by a different educational institution. Delivery is entirely online for non-CSU modules and includes remote live sessions combined with asynchronous online learning."
"EDLL 2008: Radiation Biology Principles for Medicine: Principles of Radiation On","EDLL 2008","EDLL 2008","OEE","","<p>Biological responses to radiation exposure; DNA damage and repair, cell killing and survival, carcinogenesis and genetic effects.</p>","EDLL-2008","Biological responses to radiation exposure; DNA damage and repair, cell killing and survival, carcinogenesis and genetic effects."
"EGEU 2008: Tailings and Mine Waste '18 Conference Short Courses (8 Hrs.)","EGEU 2008","EGEU 2008","OEE","","<p>Tailings and Mine Waste '18 Conference Short Courses (8 Hrs.):</p><ul><li>Alternate Tailings Technologies: Reducing the Risk</li><li>Building Dynamic Probabilistic Simulation Models for Mine Water and Waste Using GoldSim</li><li>Tailings 2.0: A Two-Pronged Approach to Deliver Value and Comply with Societal Demands in the XXI Century</li><li>Modeling Aspects of Tailings Disposal Facility Design - Prediction of Storage Capacity</li></ul>","EGEU-2008","Tailings and Mine Waste '18 Conference Short Courses (8 Hrs.)"
"GSEU 2008: Support Group Facilitator Training","GSEU 2008","GSEU 2008","OEE","","<p>Taught by the Center for Loss &amp; Life Transition in Fort Collins, CO. 3.0 CEUs</p>","GSEU-2008","Taught by the Center for Loss & Life Transition in Fort Collins, CO. 3.0 CEUs"
"LGBB 2008: Spanish-Animal Health/Agriculture Terminology","LGBB 2008","LGBB 2008","OEE","","<p>Spanish lexicon specific to animal health and plant-based agricultural practices and sciences. Focuses on enhancing vocabulary breadth and depth by developing awareness of both, meaning relations among words, and morphological composition applied to the production and interpretation of the complex word types found in this field. All course materials are in the target language.</p>","LGBB-2008","Spanish lexicon specific to animal health and plant-based agricultural practices and sciences. Focuses on enhancing vocabulary breadth and depth by developing awareness of both, meaning relations among words, and morphological composition applied to the production and interpretation of the complex word types found in this field. All course materials are in the target language."
"BSLL 2009: CSU Student Venture Accelerator","BSLL 2009","BSLL 2009","OEE","","<p>The CSU Institute for Entrepreneurship has launched a Student Venture Accelerator starting Summer 2023! This accelerator is designed to quickly get students teams from idea to go-to-market in 3 months, and sustainable growth beyond the accelerator. Please note, this is an immersive summer program that will require in-person participation. Venture teams selected for this program have the opportunity to receive up to $5,000+ in venture funding to support their early-stage operations and go-to-market strategies.</p><p>This program is open to all current CSU undergrad and graduate students as well as CSU Alumni that have graduated within the last year. This program kicks off with orientation during May 2023 and accelerator starts June 2023 - August 2023.</p>","BSLL-2009","The CSU Institute for Entrepreneurship has launched a Student Venture Accelerator starting Summer 2023! This accelerator is designed to quickly get students teams from idea to go-to-market in 3 months, and sustainable growth beyond the accelerator."
"EDLL 2009: Radiation Biology Principles for Medicine: Principles of Radiation Pr","EDLL 2009","EDLL 2009","OEE","","<p>Radiation risk assessment and protection; risk versus benefit associated with environmental and medical exposures.<br />.</p>","EDLL-2009","Radiation risk assissment and protection; risk versus benefit associated with environmental and medical exposures. ."
"EGEU 2009: Tailings and Mine Waste '18 Short Course (4 Hrs.)","EGEU 2009","EGEU 2009","OEE","","<p>Tailings and Mine Waste '18 Short Course (4 Hrs.) - Mining Association of Canada's Guidance on Tailings Management</p>","EGEU-2009","Tailings and Mine Waste '18 Short Course (4 Hrs.) - Mining Association of Canada's Guidance on Tailings Management"
"CFPD 201: Advanced Topics for Online Courses","CFPD 201","CFPD 201","OEE","","<p><i>Designing Your Online Course</i> is a two-week, sixteen hour, instructor facilitated, online course focusing on using best practices to design and build effective online courses. Topics discussed include student engagement, authentic assessment, diverse instructional materials, universal design, and Quality Matters &amp;#8482;. In addition to working on a course map, participants will build a module of their course according to a nationally accepted set of standards for course quality. Please note, that while the course is asynchronous it is not self-paced, participants should expect to spend eight hours per week completing assignments with specific due dates.<br /><br />Upon successful completion of this course, participants will submit a course map with a completed course structure and one fully built module in Canvas. A digital badge and $250 stipend will be awarded upon meeting completion requirements.</p>","CFPD-201","<i>Designing Your Online Course</i> is a two-week, facilitated, online course focusing on using best practices to design and build effective online courses."
"AGBB 2010: Herbaceous Plants","AGBB 2010","AGBB 2010","OEE","","<p>This course provides an overview of growing herbaceous plants (annuals, biennials, and perennials, including flowers). The course covers plant selection criteria for various garden situations, teaching you how to interpret plant labels and all the information found there, including life cycle, exposure, irrigation and soil requirements, and drought tolerance. Also learn about methods to create and utilize microclimates.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Select plants for different garden situations</li><li>Describe factors that influence microclimates</li><li>Describe methods to create and exploit microclimates</li><li>Interpret catalog and plant label descriptions, as they relate to life cycles, exposure, irrigation requirements, drought tolerance, and soil requirements</li><li>List other selection considerations related to Right Plant, Right Place</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the course.</p>","AGBB-2010","This course provides an overview of selection criteria for various garden situations, teaching you how to interpret plant labels and all the information found there, including life cycle, exposure, irrigation and soil requirements, and drought tolerance. Also learn about methods to create and utilize microclimates."
"EGEU 2010: Tailings and Mine Waste '18 Conference","EGEU 2010","EGEU 2010","OEE","","<p>Tailings and Mine Waste '18 Conference</p>","EGEU-2010","Tailings and Mine Waste '18 Conference"
"GSEU 2010: Fundamentals of Horticultural Therapy","GSEU 2010","GSEU 2010","OEE","","<p>This course introduces the profession and practice of horticultural therapy (HT), and its use in health care and human service. The course describes the types of HT programs, as well as the cognitive, social, emotional and physical goals for the varied people served. It outlines the processes of treatment, session and program planning in horticultural therapy.</p>","GSEU-2010","This course introduces the profession and practice of horticultural therapy (HT), and its use in health care and human service. The course describes the types of HT programs, as well as the cognitive, social, emotional and physical goals for the varied people served. It outlines the processes of treatment, session and program planning in horticultural therapy."
"GSLL 2010: Empowerment Course","GSLL 2010","GSLL 2010","OEE","","<p>The Empowerment Course is designed to facilitate successful employment and/or educational outcomes for transition-aged (18-26) young adults with disabilities. With an emphasis on self-advocacy skills, this course will help students learn how to find, get, and keep meaningful employment. Students will also gain an understanding of how to accentuate strengths and minimize challenges while increasing independence and career/life goal achievement.</p>","GSLL-2010","The Empowerment Course is designed to facilitate successful employment and/or educational outcomes for transition-aged (18-26) young adults with disabilities. With an emphasis on self-advocacy skills, this course will help students learn how to find, get, and keep meaningful employment."
"SCEU 2010: HAR-CeRSER 2019 Conference: High Altitude Restoration Science and Pra","SCEU 2010","SCEU 2010","OEE","","<p>Jointly hosted by High Altitude Revegetation (HAR) and Central Rockies chapter of the Society for Ecological Restoration (CeRSER), the goal of the 2019 Conference is to enhance our understanding of ecological restoration and revegetation in diverse ecosystems using a variety of methods.</p>","SCEU-2010","Jointly hosted by High Altitude Revegetation (HAR) and Central Rockies chapter of the Society for Ecological Restoration (CeRSER), the goal of the 2019 Conference is to enhance our understanding of ecological restoration and revegetation in diverse ecosystems using a variety of methods."
"SCLL 2010: Team Science 101","SCLL 2010","SCLL 2010","OEE","","<p>Teaming is a process, not an outcome. Join us for this free introductory session on the unique challenges faced by scientific teams working across disciplines to solve complex, global problems, and learn how team science equips teams for success.</p>","SCLL-2010","Teaming is a process, not an outcome. Join us for this free introductory session on the unique challenges faced by scientific teams working across disciplines to solve complex, global problems, and learn how team science equips teams for success."
"EDLL 2011: Advanced Health Physics","EDLL 2011","EDLL 2011","OEE","","<p>Basic concepts to problem-solving health physics review. This 16-week class lets you study at times and places convenient to you!</p><p>This course is geared toward those experienced in radiation protection, and it gives you invaluable tools to set up a regular, focused study program leading to success! The American Board of Health Physics (ABHP) has given approval #2018-00-060 for EDLL 2011 to provide 32 AAHP continuing education credits for the 4-year period 2018-2021.</p><p>Why should you take this course? Because it will:</p><p>• Benefit any health physicist who wants a structured review of the relevant topics.<br />• Help you identify your weaknesses and provide guidance on what to study.<br />• Refresh your memory on each topic and present real world examples.<br />• Teach unit analysis, explore thumb rules, and offer multiple strategies for solving problems.<br />• Give you information on what to study and identify areas where you need to concentrate.</p><p>This class is streamed over the Internet and can be viewed at your convenience. Students interact by email, and each is assigned an individual mentor to track progress.</p><p>Profits from the class support the CSU Student Chapter of the Health Physics Society.</p>","EDLL-2011","This course is geared toward those experienced in radiation protection, and it gives you invaluable tools to set up a regular, focused study program leading to success! The American Board of Health Physics (ABHP) has given approval #2018-00-060 for EDLL 2011 to provide 32 AAHP continuing education credits for the 4-year period 2018-2021."
"EGEU 2011: Tailings and Mine Waste '18 Conference and Short Course (8 Hrs.)","EGEU 2011","EGEU 2011","OEE","","<p>Tailings and Mine Waste '18 Conference and Short Course (8 Hrs.)</p>","EGEU-2011","Tailings and Mine Waste '18 Conference and Short Course (8 Hrs.)"
"LGBB 2011: The Intercultural Workplace-Animal Health/Ag","LGBB 2011","LGBB 2011","OEE","","<p>Continued development of Spanish competency applied to cultural awareness in a diverse workplace. Analytical tools to uncover students’ own culturally and socially constructed patterns of behavior and beliefs, as well as those of a different culture. Implications of cultural displacement in a diverse workplace and agricultural and animal care fields; personal distance and power relative to age/gender/ethnic relations, as manifested in verbal and non-verbal communication.</p>","LGBB-2011","Continued development of Spanish competency applied to cultural awareness in a diverse workplace."
"EGEU 2012: Tailings and Mine Waste '18 Conference and Short Course (4 Hrs.)","EGEU 2012","EGEU 2012","OEE","","<p>Tailings and Mine Waste '18 Conference and Short Course (4 Hrs.)</p>","EGEU-2012","Tailings and Mine Waste '18 Conference and Short Course (4 Hrs.)"
"EGEU 2013: 2023 Pavement Management Training - Level 1","EGEU 2013","EGEU 2013","OEE","","<p>PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&amp;R needs many years into the future.</p><p>The PCI for airports became as ASTM standard in 1993. The PCI for roads and parking lots became an ASTM standard in 1999. The PAVER program performs multiple levels of analysis to show where to best allocate scarce M&amp;R dollars.</p>","EGEU-2013","PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&R needs many years into the future."
"AGBB 2015: Houseplants","AGBB 2015","AGBB 2015","OEE","","<p>Explore the history, benefits, and ideal conditions for successfully growing plants indoors, including light, temperature, humidity, water, and fertilizer. The course also provides an overview of common houseplants to better identify and select plants based on indoor conditions and required maintenance. Common houseplants pests and diseases will also be covered.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Understand the history and benefits of indoor plants</li><li>Effectively understand the ideal conditions for successfully growing plants indoors including light, temperature, humidity, water, and fertilizer</li><li>Understand the basics of common houseplant pests and diseases</li><li>Explore common houseplants to better identify and select plants based on indoor conditions and required maintenance</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the course.</p>","AGBB-2015","Explore the history, benefits, and ideal conditions for successfully growing plants indoors, including light, temperature, humidity, water, and fertilizer. The course also provides an overview of common houseplants to better identify and select plants based on indoor conditions and required maintenance. Common houseplants pests and diseases will also be covered."
"EGEU 2016: 2023 Pavement Management Training - Levels 1 & 2","EGEU 2016","EGEU 2016","OEE","","<p>PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&amp;R needs many years into the future.</p><p>The PCI for airports became as ASTM standard in 1993. The PCI for roads and parking lots became an ASTM standard in 1999. The PAVER program performs multiple levels of analysis to show where to best allocate scarce M&amp;R dollars.</p>","EGEU-2016","PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&R needs many years into the future."
"EGEU 2017: 2023 Pavement Management Training - Levels 2 & 3","EGEU 2017","EGEU 2017","OEE","","<p>PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&amp;R needs many years into the future.</p><p>The PCI for airports became as ASTM standard in 1993. The PCI for roads and parking lots became an ASTM standard in 1999. The PAVER program performs multiple levels of analysis to show where to best allocate scarce M&amp;R dollars.</p>","EGEU-2017","PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&R needs many years into the future."
"EGEU 2018: 2023 Pavement Management Training - Levels 1, 2, & 3","EGEU 2018","EGEU 2018","OEE","","<p>PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&amp;R needs many years into the future.</p><p>The PCI for airports became as ASTM standard in 1993. The PCI for roads and parking lots became an ASTM standard in 1999. The PAVER program performs multiple levels of analysis to show where to best allocate scarce M&amp;R dollars.</p>","EGEU-2018","PAVER - The Pavement Maintenance Management System uses inspection data and a pavement condition index (PCI) rating from zero (failed) to 100 (excellent) for consistently describing a pavement's condition and for prediciting its M&R needs many years into the future."
"GSEU 2019: Creating Meaningful Funeral Ceremonies","GSEU 2019","GSEU 2019","OEE","","<p>This motivational information rich seminar evolved out of a need to provide funeral professionals with an excellent learning experience focused on an in-depth understanding of the elements of meaningful funerals and how to convey value to the families you serve.</p><p>In this 3-day seminar, respected educator Dr. Alan Wolfelt will explore the WHY's of the funeral, the elements of the funeral, what the WHYs have to do with the elements and how to use this information to help families and transform the funeral experience for them and for your organization.</p><p>Held in Scottsdale AZ.</p>","GSEU-2019","This motivational information rich seminar evolved out of a need to provide funeral professionals with an excellent learning experience focused on an in-depth understanding of the elements of meaningful funerals and how to convey value to the families you serve."
"AGBB 2020: Irrigation Management","AGBB 2020","AGBB 2020","OEE","","<p>Learn how to perform a lawn irrigation check-up in this course. Also explore key issues surrounding Colorado's water situation and Western water rights, covering the maintenance and management of efficient landscape irrigation.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Describe why horticultural plants need water/irrigation (quality, growth, aesthetics, health, yield)</li><li>Describe why plants ""use"" water (for growth and cooling) and what evapotranspiration (ET) means</li><li>Understand the climatic factors that ""make"" plants use water (solar intensity, wind, temperature, and relative humidity)</li><li>Understand that efficient irrigation matches precipitation and irrigation inputs with plant water use/ET</li><li>Understand how to predict plant water demand and match that with irrigation and how to apply that water uniformly and at the correct frequency</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the course.</p>","AGBB-2020","Learn how to perform a lawn irrigation check-up in this course. Also explore key issues surrounding Colorado's water situation and Western water rights, covering the maintenance and management of efficient landscape irrigation."
